address,eligible,refund,liquid_day0,airdropped_once_per_day_for_30_days
0x0000000006ae4b908781507e70a305a7ec6d0da5,2000.0,3.0,1353.1490014836347,135.31490014836348
0x000000e28faa823d5b53ff6c2922c28335840375,1500.0,0.0,1014.8617511127261,101.48617511127262
0x000d6a8e2aca570d4fc26e072f5ba84bc6bd773e,1999.0,0.0,1352.472426982893,135.2472426982893
0x001b574534ebd178ae17647587e8f6fea243135b,2000.0,0.0,1353.1490014836347,135.31490014836348
0x003023203c18767bd451a1da1da24cab2781b088,2000.0,0.0,1353.1490014836347,135.31490014836348
0x003041b46afc1f1e6fd05ebe082bab9eae06a33a,2000.0,0.0,1353.1490014836347,135.31490014836348
0x004f947f1dee08d7d66e106ef73979a92b047cee,2000.0,0.0,1353.1490014836347,135.31490014836348
0x006c77ce3d6c337e361d2046b3f6da13ad829e59,1500.0,0.0,1014.8617511127261,101.48617511127262
0x0076a79330fb40e6eda04a5777b38f4b5bba64d1,1060.0,0.0,717.1689707863264,71.71689707863264
0x00a833a7ce5c373ed96f6ac762cd930ccfb4e4fd,212.08150011117732,0.0,143.48893505429547,14.34889350542955
0x00a888672626e41261d04b9457894985006a928e,2000.0,0.0,1353.1490014836347,135.31490014836348
0x00bdef65125c4a30d7916a05c5c8616e65810adc,2000.0,0.0,1353.1490014836347,135.31490014836348
0x00d4b9c9d02991c5d9b1b1448f883be82654f28c,2000.0,0.0,1353.1490014836347,135.31490014836348
0x00fa08456a8a2cd6595065f02ae178c7b155624c,2000.0,0.0,1353.1490014836347,135.31490014836348
0x010ab782c05e18befda0aca343f51f27a32c1c1c,2000.0,0.0,1353.1490014836347,135.31490014836348
0x01245c782f844405e64c8e7a27dc6141ab1769a0,2000.0,0.0,1353.1490014836347,135.31490014836348
0x013a7b462107c1392300478337d17d668dc9a3a9,2000.0,0.0,1353.1490014836347,135.31490014836348
0x013cb886cda1cd63b634f3ac74b469c0c740bdd4,205.73884646000002,0.0,139.19765732687193,13.919765732687194
0x0152493ed9e1b4640d1de16006cef63a18db257c,2000.0,0.0,1353.1490014836347,135.31490014836348
0x015b52fcdc88ae3d1b7b2565f3ef9c95ff415184,2000.0,0.0,1353.1490014836347,135.31490014836348
0x015c2e7090d85f000d608ab2de7d2b4c366da4d1,1499.0,0.0,1014.1851766119843,101.41851766119842
0x015cf9bcd380247db153e206941e450c23c642a8,255.0,0.0,172.52649768916345,17.252649768916342
0x015e2c29bfc22517ca84a607f7275d3cc827541e,250.0,0.0,169.14362518545434,16.914362518545435
0x015f26f9a9fe3f06770beca5a8688cc108dace7f,1053.624538671068,0.0,712.8554962207055,71.28554962207055
0x016f4a3e2ff761731ecedf634d9ecc82cbd4bce9,1999.0,0.0,1352.472426982893,135.2472426982893
0x01703a1d422f7555358f5bb6318f8580cb0e54bf,212.0,0.0,143.43379415726528,14.34337941572653
0x0174fcad4e931150dd67dc05895a4e3caf177c39,201.0,0.0,135.9914746491053,13.599147464910528
0x018c890ddf24b2e9cd7d43f4fd0d2c1e776f0257,2000.0,0.0,1353.1490014836347,135.31490014836348
0x0197197cf4d287aea26788f7770efa8189f4cf10,2000.0,0.0,1353.1490014836347,135.31490014836348
0x01974549c9b9a30d47c548a16b120b1caa7b586c,2000.0,0.0,1353.1490014836347,135.31490014836348
0x0199e41cb316094400d4ffed077ae27bcbf9c506,1900.0,0.0,1285.491551409453,128.54915514094532
0x01aa4a842a0642ccebc621086df1ded474409b51,1200.0,0.0,811.8894008901809,81.18894008901809
0x01b8c4d93ce8a1d39571a8cf15eaeb4e3f9ab21d,2000.0,0.0,1353.1490014836347,135.31490014836348
0x01bab6c667c3cd3ddf1af1eea03f12094a4e5b47,200.0,0.0,135.31490014836348,13.531490014836349
0x01c58e66a5498625d6984d1fb72c736ac853c7ba,1080.0,0.0,730.7004608011628,73.07004608011628
0x01de1bc363f870d1d7b6ef735eb9df9f06817fbe,1060.0,0.0,717.1689707863264,71.71689707863264
0x01df88959d5bb483cc2847c35c22ab7f819412b2,200.0,0.0,135.31490014836348,13.531490014836349
0x01e7e537f59d74a42908a13062580c69f8bb209b,201.0,0.0,135.9914746491053,13.599147464910528
0x01f1f765c36f6c8ba9e5e621e7edf57220130e02,201.0,0.0,135.9914746491053,13.599147464910528
0x0215991f49bac2177a9a00f41e251ecdc1196d46,230.00403606,0.0,155.61486586589746,15.561486586589748
0x0222e274ab83d067b143db65e16634fec8fac458,0.0,0.0,0.0,0.0
0x023234656d0c392c955965ed34e5b4862ffd1574,857.0,0.0,579.8243471357375,57.98243471357375
0x02418cc806f482e7356bdca25b331177fc9eed1e,213.0,0.0,144.1103686580071,14.411036865800712
0x02608d35121db289427f6fd4fa53e93b5cae0bdf,1000.0,0.0,676.5745007418174,67.65745007418174
0x027f60f82f79bb6c7053c86da137fcf9779c5cb5,500.0,0.0,338.2872503709087,33.82872503709087
0x0282e055d3b2f7c0ad656952ac1bb989fb6d0086,2000.0,0.0,1353.1490014836347,135.31490014836348
0x02a9ce87f684f8f9b02cdd7db607480c9e5bb36c,200.0,0.0,135.31490014836348,13.531490014836349
0x02ca227bbaf464a80532647231775612dd202e36,2000.0,0.0,1353.1490014836347,135.31490014836348
0x02ccb738d424c9b1102fb9f718c5e634836cafa2,250.0,0.0,169.14362518545434,16.914362518545435
0x02d4a44d237e354ff01e95b48ee3fbd227ef336a,2000.0,0.0,1353.1490014836347,135.31490014836348
0x02da6e2cbcc167182f7e3fcc9ec05d916de78f3e,500.0,0.0,338.2872503709087,33.82872503709087
